Connected to Vehicle ECU Database
Automotive Telematics Gateway - Kafka Producer Ready
=== Automotive Telematics Gateway Started ===
Reading from Vehicle ECU Database...
Applying ISO 26262 Security Validation...
Streaming to Cloud Platform...
Processing 200 vehicle battery records...
Transmitted: NASA_BATTERY_2 - Health: 41.89%, Alert: WARNING
Transmitted: NASA_BATTERY_3 - Health: 56.99%, Alert: WARNING
Transmitted: NASA_BATTERY_4 - Health: 74.21%, Alert: CRITICAL
Transmitted: NASA_BATTERY_5 - Health: 78.59%, Alert: WARNING
Transmitted: NASA_BATTERY_1 - Health: 56.49%, Alert: WARNING
Transmitted: NASA_BATTERY_2 - Health: 42.94%, Alert: WARNING
Transmitted: NASA_BATTERY_3 - Health: 56.54%, Alert: WARNING
Transmitted: NASA_BATTERY_4 - Health: 74.56%, Alert: CRITICAL
Transmitted: NASA_BATTERY_5 - Health: 75.68%, Alert: WARNING
Transmitted: NASA_BATTERY_1 - Health: 54.81%, Alert: WARNING
Transmitted: NASA_BATTERY_2 - Health: 47.15%, Alert: WARNING
Transmitted: NASA_BATTERY_3 - Health: 75.36%, Alert: WARNING
Transmitted: NASA_BATTERY_4 - Health: 71.96%, Alert: CRITICAL
Transmitted: NASA_BATTERY_5 - Health: 75.29%, Alert: WARNING
Transmitted: NASA_BATTERY_1 - Health: 69.43%, Alert: WARNING
Transmitted: NASA_BATTERY_2 - Health: 58.85%, Alert: CRITICAL
Transmitted: NASA_BATTERY_3 - Health: 73.32%, Alert: CRITICAL
Transmitted: NASA_BATTERY_4 - Health: 69.52%, Alert: CRITICAL
Transmitted: NASA_BATTERY_5 - Health: 76.23%, Alert: WARNING
Transmitted: NASA_BATTERY_1 - Health: 69.15%, Alert: CRITICAL
Transmitted: NASA_BATTERY_2 - Health: 64.67%, Alert: CRITICAL
Transmitted: NASA_BATTERY_3 - Health: 72.83%, Alert: WARNING
Transmitted: NASA_BATTERY_4 - Health: 67.05%, Alert: CRITICAL
Transmitted: NASA_BATTERY_5 - Health: 76.35%, Alert: WARNING
Transmitted: NASA_BATTERY_1 - Health: 66.5%, Alert: WARNING
Transmitted: NASA_BATTERY_2 - Health: 60.64%, Alert: WARNING
Transmitted: NASA_BATTERY_3 - Health: 73.26%, Alert: WARNING
Transmitted: NASA_BATTERY_4 - Health: 68.74%, Alert: CRITICAL
Transmitted: NASA_BATTERY_5 - Health: 78.96%, Alert: WARNING
Transmitted: NASA_BATTERY_1 - Health: 69.55%, Alert: WARNING
Transmitted: NASA_BATTERY_2 - Health: 63.62%, Alert: WARNING
Transmitted: NASA_BATTERY_3 - Health: 73.57%, Alert: WARNING
Transmitted: NASA_BATTERY_4 - Health: 68.89%, Alert: CRITICAL
Transmitted: NASA_BATTERY_5 - Health: 75.56%, Alert: WARNING
Transmitted: NASA_BATTERY_1 - Health: 69.91%, Alert: WARNING
Transmitted: NASA_BATTERY_2 - Health: 62.77%, Alert: WARNING
Transmitted: NASA_BATTERY_3 - Health: 73.23%, Alert: CRITICAL
Transmitted: NASA_BATTERY_4 - Health: 69.19%, Alert: CRITICAL
Transmitted: NASA_BATTERY_5 - Health: 78.4%, Alert: WARNING
Transmitted: NASA_BATTERY_1 - Health: 68.46%, Alert: CRITICAL
